campaign,channel,date,cost,impressions,clicks,conversions,revenue,product_name
Brand-A-Search,Google,2026-04-01,12000,18500,420,18,72000,薬用スカルプエッセンス A
Brand-A-Search,Google,2026-04-08,12500,18900,415,15,60000,薬用スカルプエッセンス A
Brand-A-Search,Google,2026-04-15,13800,19200,398,12,48000,薬用スカルプエッセンス A
Brand-A-Search,Google,2026-04-22,14200,19400,380,10,40000,薬用スカルプエッセンス A
Generic-A-Search,Google,2026-04-01,8500,22000,260,5,22000,薬用スカルプエッセンス A
Generic-A-Search,Google,2026-04-08,8800,22500,255,4,18000,薬用スカルプエッセンス A
Generic-A-Search,Google,2026-04-15,9200,23000,250,3,12000,薬用スカルプエッセンス A
Generic-A-Search,Google,2026-04-22,9500,23200,245,2,8000,薬用スカルプエッセンス A
Brand-B-Search,Google,2026-04-01,6800,9800,310,28,112000,モイスチャーセラム B
Brand-B-Search,Google,2026-04-08,7100,10200,320,30,120000,モイスチャーセラム B
Brand-B-Search,Google,2026-04-15,7400,10500,330,32,128000,モイスチャーセラム B
Brand-B-Search,Google,2026-04-22,7700,10800,335,33,132000,モイスチャーセラム B
Display-RTG,Google,2026-04-01,5200,142000,420,8,32000,薬用スカルプエッセンス A
Display-RTG,Google,2026-04-08,5400,148000,425,9,36000,薬用スカルプエッセンス A
Display-RTG,Google,2026-04-15,5600,152000,430,10,40000,薬用スカルプエッセンス A
Display-RTG,Google,2026-04-22,5800,156000,435,11,44000,薬用スカルプエッセンス A
Meta-Prospecting,Meta,2026-04-01,9800,210000,860,18,72000,モイスチャーセラム B
Meta-Prospecting,Meta,2026-04-08,10200,215000,870,20,80000,モイスチャーセラム B
Meta-Prospecting,Meta,2026-04-15,10800,220000,880,22,88000,モイスチャーセラム B
Meta-Prospecting,Meta,2026-04-22,11400,225000,890,24,96000,モイスチャーセラム B
Meta-RTG,Meta,2026-04-01,4200,68000,520,22,84000,モイスチャーセラム B
Meta-RTG,Meta,2026-04-08,4400,70000,530,23,88000,モイスチャーセラム B
Meta-RTG,Meta,2026-04-15,4600,72000,540,24,92000,モイスチャーセラム B
Meta-RTG,Meta,2026-04-22,4800,74000,550,25,96000,モイスチャーセラム B
LINE-Promo,LINE,2026-04-01,3200,52000,180,4,16000,リペアサプリ D
LINE-Promo,LINE,2026-04-08,3400,54000,185,3,12000,リペアサプリ D
LINE-Promo,LINE,2026-04-15,3600,56000,190,3,12000,リペアサプリ D
LINE-Promo,LINE,2026-04-22,3800,58000,195,2,8000,リペアサプリ D
Yahoo-Search,Yahoo,2026-04-01,2800,7200,140,7,28000,クレンジングミルク C
Yahoo-Search,Yahoo,2026-04-08,2900,7400,142,8,32000,クレンジングミルク C
Yahoo-Search,Yahoo,2026-04-15,3000,7600,144,8,32000,クレンジングミルク C
Yahoo-Search,Yahoo,2026-04-22,3100,7800,145,7,28000,クレンジングミルク C
